"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
16-08-20,"Ath Bilbao","Barcelona",1,0,"H"
17-08-20,"Celta","Real Madrid",1,3,"A"
17-08-20,"Valencia","Sociedad",1,1,"D"
17-08-20,"Mallorca","Eibar",2,1,"H"
17-08-20,"Leganes","Osasuna",0,1,"A"
17-08-20,"Villarreal","Granada",4,4,"D"
18-08-20,"Alaves","Levante",1,0,"H"
18-08-20,"Espanol","Sevilla",0,2,"A"
18-08-20,"Betis","Valladolid",1,2,"A"
18-08-20,"Ath Madrid","Getafe",1,0,"H"
23-08-20,"Granada","Sevilla",0,1,"A"
23-08-20,"Levante","Villarreal",2,1,"H"
24-08-20,"Osasuna","Eibar",0,0,"D"
24-08-20,"Real Madrid","Valladolid",1,1,"D"
24-08-20,"Celta","Valencia",1,0,"H"
24-08-20,"Getafe","Ath Bilbao",1,1,"D"
25-08-20,"Alaves","Espanol",0,0,"D"
25-08-20,"Mallorca","Sociedad",0,1,"A"
25-08-20,"Leganes","Ath Madrid",0,1,"A"
25-08-20,"Barcelona","Betis",5,2,"H"
30-08-20,"Sevilla","Celta",1,1,"D"
30-08-20,"Ath Bilbao","Sociedad",2,0,"H"
31-08-20,"Osasuna","Barcelona",2,2,"D"
31-08-20,"Getafe","Alaves",1,1,"D"
31-08-20,"Levante","Valladolid",2,0,"H"
31-08-20,"Betis","Leganes",2,1,"H"
1-09-20,"Valencia","Mallorca",2,0,"H"
1-09-20,"Ath Madrid","Eibar",3,2,"H"
1-09-20,"Espanol","Granada",0,3,"A"
1-09-20,"Villarreal","Real Madrid",2,2,"D"
13-09-20,"Mallorca","Ath Bilbao",0,0,"D"
14-09-20,"Real Madrid","Levante",3,2,"H"
14-09-20,"Leganes","Villarreal",0,3,"A"
14-09-20,"Sociedad","Ath Madrid",2,0,"H"
14-09-20,"Barcelona","Valencia",5,2,"H"
15-09-20,"Eibar","Espanol",1,2,"A"
15-09-20,"Alaves","Sevilla",0,1,"A"
15-09-20,"Celta","Granada",0,2,"A"
15-09-20,"Valladolid","Osasuna",1,1,"D"
15-09-20,"Betis","Getafe",1,1,"D"
20-09-20,"Osasuna","Betis",0,0,"D"
21-09-20,"Villarreal","Valladolid",2,0,"H"
21-09-20,"Levante","Eibar",0,0,"D"
21-09-20,"Ath Madrid","Celta",0,0,"D"
21-09-20,"Granada","Barcelona",2,0,"H"
22-09-20,"Getafe","Mallorca",4,2,"H"
22-09-20,"Espanol","Sociedad",1,3,"A"
22-09-20,"Valencia","Leganes",1,1,"D"
22-09-20,"Ath Bilbao","Alaves",2,0,"H"
22-09-20,"Sevilla","Real Madrid",0,1,"A"
24-09-20,"Valladolid","Granada",1,1,"D"
24-09-20,"Betis","Levante",3,1,"H"
24-09-20,"Barcelona","Villarreal",2,1,"H"
25-09-20,"Leganes","Ath Bilbao",1,1,"D"
25-09-20,"Mallorca","Ath Madrid",0,2,"A"
25-09-20,"Valencia","Getafe",3,3,"D"
25-09-20,"Real Madrid","Osasuna",2,0,"H"
26-09-20,"Eibar","Sevilla",3,2,"H"
26-09-20,"Celta","Espanol",1,1,"D"
26-09-20,"Sociedad","Alaves",3,0,"H"
27-09-20,"Villarreal","Betis",5,1,"H"
28-09-20,"Ath Bilbao","Valencia",0,1,"A"
28-09-20,"Getafe","Barcelona",0,2,"A"
28-09-20,"Granada","Leganes",1,0,"H"
28-09-20,"Ath Madrid","Real Madrid",0,0,"D"
29-09-20,"Espanol","Valladolid",0,2,"A"
29-09-20,"Eibar","Celta",2,0,"H"
29-09-20,"Alaves","Mallorca",2,0,"H"
29-09-20,"Levante","Osasuna",1,1,"D"
29-09-20,"Sevilla","Sociedad",3,2,"H"
4-10-20,"Betis","Eibar",1,1,"D"
5-10-20,"Leganes","Levante",1,2,"A"
5-10-20,"Real Madrid","Granada",4,2,"H"
5-10-20,"Valencia","Alaves",2,1,"H"
5-10-20,"Osasuna","Villarreal",2,1,"H"
6-10-20,"Mallorca","Espanol",2,0,"H"
6-10-20,"Celta","Ath Bilbao",1,0,"H"
6-10-20,"Valladolid","Ath Madrid",0,0,"D"
6-10-20,"Sociedad","Getafe",1,2,"A"
6-10-20,"Barcelona","Sevilla",4,0,"H"
18-10-20,"Granada","Osasuna",1,0,"H"
19-10-20,"Eibar","Barcelona",0,3,"A"
19-10-20,"Ath Madrid","Valencia",1,1,"D"
19-10-20,"Getafe","Leganes",2,0,"H"
19-10-20,"Mallorca","Real Madrid",1,0,"H"
20-10-20,"Alaves","Celta",2,0,"H"
20-10-20,"Sociedad","Betis",3,1,"H"
20-10-20,"Espanol","Villarreal",0,1,"A"
20-10-20,"Ath Bilbao","Valladolid",1,1,"D"
20-10-20,"Sevilla","Levante",1,0,"H"
25-10-20,"Villarreal","Alaves",4,1,"H"
26-10-20,"Leganes","Mallorca",1,0,"H"
26-10-20,"Valladolid","Eibar",2,0,"H"
26-10-20,"Ath Madrid","Ath Bilbao",2,0,"H"
27-10-20,"Celta","Sociedad",0,1,"A"
27-10-20,"Granada","Betis",1,0,"H"
27-10-20,"Levante","Espanol",0,1,"A"
27-10-20,"Sevilla","Getafe",2,0,"H"
27-10-20,"Osasuna","Valencia",3,1,"H"
29-10-20,"Alaves","Ath Madrid",1,1,"D"
29-10-20,"Barcelona","Valladolid",5,1,"H"
30-10-20,"Sociedad","Levante",1,2,"A"
30-10-20,"Valencia","Sevilla",1,1,"D"
30-10-20,"Ath Bilbao","Espanol",3,0,"H"
30-10-20,"Betis","Celta",2,1,"H"
30-10-20,"Real Madrid","Leganes",5,0,"H"
31-10-20,"Eibar","Villarreal",2,1,"H"
31-10-20,"Mallorca","Osasuna",2,2,"D"
31-10-20,"Getafe","Granada",3,1,"H"
2-11-20,"Espanol","Valencia",1,2,"A"
2-11-20,"Levante","Barcelona",3,1,"H"
2-11-20,"Sevilla","Ath Madrid",1,1,"D"
2-11-20,"Real Madrid","Betis",0,0,"D"
3-11-20,"Valladolid","Mallorca",3,0,"H"
3-11-20,"Villarreal","Ath Bilbao",0,0,"D"
3-11-20,"Osasuna","Alaves",4,2,"H"
3-11-20,"Celta","Getafe",0,1,"A"
3-11-20,"Leganes","Eibar",1,2,"A"
3-11-20,"Granada","Sociedad",1,2,"A"
8-11-20,"Sociedad","Leganes",1,1,"D"
9-11-20,"Alaves","Valladolid",3,0,"H"
9-11-20,"Valencia","Granada",2,0,"H"
9-11-20,"Eibar","Real Madrid",0,4,"A"
9-11-20,"Barcelona","Celta",4,1,"H"
10-11-20,"Mallorca","Villarreal",3,1,"H"
10-11-20,"Ath Bilbao","Levante",2,1,"H"
10-11-20,"Ath Madrid","Espanol",3,1,"H"
10-11-20,"Getafe","Osasuna",0,0,"D"
10-11-20,"Betis","Sevilla",1,2,"A"
22-11-20,"Levante","Mallorca",2,1,"H"
23-11-20,"Leganes","Barcelona",1,2,"A"
23-11-20,"Betis","Valencia",2,1,"H"
23-11-20,"Granada","Ath Madrid",1,1,"D"
23-11-20,"Real Madrid","Sociedad",3,1,"H"
24-11-20,"Espanol","Getafe",1,1,"D"
24-11-20,"Osasuna","Ath Bilbao",1,2,"A"
24-11-20,"Eibar","Alaves",0,2,"A"
24-11-20,"Villarreal","Celta",1,3,"A"
24-11-20,"Valladolid","Sevilla",0,1,"A"
29-11-20,"Celta","Valladolid",0,0,"D"
30-11-20,"Alaves","Real Madrid",1,2,"A"
30-11-20,"Sociedad","Eibar",4,1,"H"
30-11-20,"Mallorca","Betis",1,2,"A"
30-11-20,"Valencia","Villarreal",2,1,"H"
1-12-20,"Sevilla","Leganes",1,0,"H"
1-12-20,"Ath Bilbao","Granada",2,0,"H"
1-12-20,"Espanol","Osasuna",2,4,"A"
1-12-20,"Getafe","Levante",4,0,"H"
1-12-20,"Ath Madrid","Barcelona",0,1,"A"
6-12-20,"Villarreal","Ath Madrid",0,0,"D"
7-12-20,"Real Madrid","Espanol",2,0,"H"
7-12-20,"Granada","Alaves",3,0,"H"
7-12-20,"Levante","Valencia",2,4,"A"
7-12-20,"Barcelona","Mallorca",5,2,"H"
8-12-20,"Eibar","Getafe",0,1,"A"
8-12-20,"Betis","Ath Bilbao",3,2,"H"
8-12-20,"Valladolid","Sociedad",0,0,"D"
8-12-20,"Leganes","Celta",3,2,"H"
8-12-20,"Osasuna","Sevilla",1,1,"D"
13-12-20,"Alaves","Leganes",1,1,"D"
14-12-20,"Granada","Levante",1,2,"A"
14-12-20,"Sociedad","Barcelona",2,2,"D"
14-12-20,"Ath Bilbao","Eibar",0,0,"D"
14-12-20,"Ath Madrid","Osasuna",2,0,"H"
15-12-20,"Getafe","Valladolid",2,0,"H"
15-12-20,"Celta","Mallorca",2,2,"D"
15-12-20,"Espanol","Betis",2,2,"D"
15-12-20,"Sevilla","Villarreal",1,2,"A"
15-12-20,"Valencia","Real Madrid",1,1,"D"
18-12-20,"Barcelona","Real Madrid",0,0,"D"
20-12-20,"Eibar","Granada",3,0,"H"
21-12-20,"Mallorca","Sevilla",0,2,"A"
21-12-20,"Barcelona","Alaves",4,1,"H"
21-12-20,"Villarreal","Getafe",1,0,"H"
21-12-20,"Valladolid","Valencia",1,1,"D"
22-12-20,"Leganes","Espanol",2,0,"H"
22-12-20,"Osasuna","Sociedad",3,4,"A"
22-12-20,"Betis","Ath Madrid",1,2,"A"
22-12-20,"Levante","Celta",3,1,"H"
22-12-20,"Real Madrid","Ath Bilbao",0,0,"D"
3-01-20,"Valladolid","Leganes",2,2,"D"
3-01-20,"Sevilla","Ath Bilbao",1,1,"D"
4-01-20,"Valencia","Eibar",1,0,"H"
4-01-20,"Getafe","Real Madrid",0,3,"A"
4-01-20,"Ath Madrid","Levante",2,1,"H"
4-01-20,"Espanol","Barcelona",2,2,"D"
5-01-20,"Granada","Mallorca",1,0,"H"
5-01-20,"Sociedad","Villarreal",1,2,"A"
5-01-20,"Alaves","Betis",1,1,"D"
5-01-20,"Celta","Osasuna",1,1,"D"
17-01-20,"Leganes","Getafe",0,3,"A"
18-01-20,"Levante","Alaves",0,1,"A"
18-01-20,"Real Madrid","Sevilla",2,1,"H"
18-01-20,"Osasuna","Valladolid",0,0,"D"
18-01-20,"Eibar","Ath Madrid",2,0,"H"
19-01-20,"Mallorca","Valencia",4,1,"H"
19-01-20,"Betis","Sociedad",3,0,"H"
19-01-20,"Villarreal","Espanol",1,2,"A"
19-01-20,"Ath Bilbao","Celta",1,1,"D"
19-01-20,"Barcelona","Granada",1,0,"H"
24-01-20,"Osasuna","Levante",2,0,"H"
25-01-20,"Espanol","Ath Bilbao",1,1,"D"
25-01-20,"Valencia","Barcelona",2,0,"H"
25-01-20,"Alaves","Villarreal",1,2,"A"
25-01-20,"Sevilla","Granada",2,0,"H"
26-01-20,"Ath Madrid","Leganes",0,0,"D"
26-01-20,"Celta","Eibar",0,0,"D"
26-01-20,"Getafe","Betis",1,0,"H"
26-01-20,"Sociedad","Mallorca",3,0,"H"
26-01-20,"Valladolid","Real Madrid",0,1,"A"
1-02-20,"Granada","Espanol",2,1,"H"
1-02-20,"Real Madrid","Ath Madrid",1,0,"H"
1-02-20,"Mallorca","Valladolid",0,1,"A"
1-02-20,"Valencia","Celta",1,0,"H"
2-02-20,"Leganes","Sociedad",2,1,"H"
2-02-20,"Eibar","Betis",1,1,"D"
2-02-20,"Ath Bilbao","Getafe",0,2,"A"
2-02-20,"Sevilla","Alaves",1,1,"D"
2-02-20,"Villarreal","Osasuna",3,1,"H"
2-02-20,"Barcelona","Levante",2,1,"H"
7-02-20,"Alaves","Eibar",2,1,"H"
8-02-20,"Levante","Leganes",2,0,"H"
8-02-20,"Getafe","Valencia",3,0,"H"
8-02-20,"Valladolid","Villarreal",1,1,"D"
8-02-20,"Ath Madrid","Granada",1,0,"H"
9-02-20,"Espanol","Mallorca",1,0,"H"
9-02-20,"Sociedad","Ath Bilbao",2,1,"H"
9-02-20,"Osasuna","Real Madrid",1,4,"A"
9-02-20,"Celta","Sevilla",2,1,"H"
9-02-20,"Betis","Barcelona",2,3,"A"
14-02-20,"Valencia","Ath Madrid",2,2,"D"
15-02-20,"Mallorca","Alaves",1,0,"H"
15-02-20,"Barcelona","Getafe",2,1,"H"
15-02-20,"Villarreal","Levante",2,1,"H"
15-02-20,"Granada","Valladolid",2,1,"H"
16-02-20,"Sevilla","Espanol",2,2,"D"
16-02-20,"Leganes","Betis",0,0,"D"
16-02-20,"Ath Bilbao","Osasuna",0,1,"A"
16-02-20,"Real Madrid","Celta",2,2,"D"
21-02-20,"Betis","Mallorca",3,3,"D"
22-02-20,"Celta","Leganes",1,0,"H"
22-02-20,"Barcelona","Eibar",5,0,"H"
22-02-20,"Sociedad","Valencia",3,0,"H"
22-02-20,"Levante","Real Madrid",1,0,"H"
23-02-20,"Osasuna","Granada",0,3,"A"
23-02-20,"Alaves","Ath Bilbao",2,1,"H"
23-02-20,"Valladolid","Espanol",2,1,"H"
23-02-20,"Getafe","Sevilla",0,3,"A"
23-02-20,"Ath Madrid","Villarreal",3,1,"H"
28-02-20,"Sociedad","Valladolid",1,0,"H"
29-02-20,"Eibar","Levante",3,0,"H"
29-02-20,"Valencia","Betis",2,1,"H"
29-02-20,"Leganes","Alaves",1,1,"D"
29-02-20,"Granada","Celta",0,0,"D"
1-03-20,"Sevilla","Osasuna",3,2,"H"
1-03-20,"Ath Bilbao","Villarreal",1,0,"H"
1-03-20,"Espanol","Ath Madrid",1,1,"D"
1-03-20,"Mallorca","Getafe",0,1,"A"
1-03-20,"Real Madrid","Barcelona",2,0,"H"
6-03-20,"Alaves","Valencia",1,1,"D"
7-03-20,"Eibar","Mallorca",1,2,"A"
7-03-20,"Ath Madrid","Sevilla",2,2,"D"
7-03-20,"Barcelona","Sociedad",1,0,"H"
7-03-20,"Getafe","Celta",0,0,"D"
8-03-20,"Osasuna","Espanol",1,0,"H"
8-03-20,"Valladolid","Ath Bilbao",1,4,"A"
8-03-20,"Levante","Granada",1,1,"D"
8-03-20,"Villarreal","Leganes",1,2,"A"
8-03-20,"Betis","Real Madrid",2,1,"H"
10-03-20,"Eibar","Sociedad",1,2,"A"
11-06-20,"Sevilla","Betis",2,0,"H"
12-06-20,"Granada","Getafe",2,1,"H"
12-06-20,"Valencia","Levante",1,1,"D"
13-06-20,"Espanol","Alaves",2,0,"H"
13-06-20,"Celta","Villarreal",0,1,"A"
13-06-20,"Leganes","Valladolid",1,2,"A"
13-06-20,"Mallorca","Barcelona",0,4,"A"
14-06-20,"Ath Bilbao","Ath Madrid",1,1,"D"
14-06-20,"Real Madrid","Eibar",3,1,"H"
14-06-20,"Sociedad","Osasuna",1,1,"D"
15-06-20,"Levante","Sevilla",1,1,"D"
15-06-20,"Betis","Granada",2,2,"D"
16-06-20,"Getafe","Espanol",0,0,"D"
16-06-20,"Villarreal","Mallorca",1,0,"H"
16-06-20,"Barcelona","Leganes",2,0,"H"
17-06-20,"Eibar","Ath Bilbao",2,2,"D"
17-06-20,"Valladolid","Celta",0,0,"D"
17-06-20,"Osasuna","Ath Madrid",0,5,"A"
18-06-20,"Alaves","Sociedad",2,0,"H"
18-06-20,"Real Madrid","Valencia",3,0,"H"
19-06-20,"Granada","Villarreal",0,1,"A"
19-06-20,"Mallorca","Leganes",1,1,"D"
19-06-20,"Sevilla","Barcelona",0,0,"D"
20-06-20,"Espanol","Levante",1,3,"A"
20-06-20,"Ath Bilbao","Betis",1,0,"H"
20-06-20,"Getafe","Eibar",1,1,"D"
20-06-20,"Ath Madrid","Valladolid",1,0,"H"
21-06-20,"Celta","Alaves",6,0,"H"
21-06-20,"Valencia","Osasuna",2,0,"H"
21-06-20,"Sociedad","Real Madrid",1,2,"A"
22-06-20,"Villarreal","Sevilla",2,2,"D"
22-06-20,"Leganes","Granada",0,0,"D"
23-06-20,"Levante","Ath Madrid",0,1,"A"
23-06-20,"Valladolid","Getafe",1,1,"D"
23-06-20,"Barcelona","Ath Bilbao",1,0,"H"
24-06-20,"Alaves","Osasuna",0,1,"A"
24-06-20,"Sociedad","Celta",0,1,"A"
24-06-20,"Real Madrid","Mallorca",2,0,"H"
25-06-20,"Eibar","Valencia",1,0,"H"
25-06-20,"Betis","Espanol",1,0,"H"
26-06-20,"Sevilla","Valladolid",1,1,"D"
27-06-20,"Ath Bilbao","Mallorca",3,1,"H"
27-06-20,"Celta","Barcelona",2,2,"D"
27-06-20,"Osasuna","Leganes",2,1,"H"
27-06-20,"Ath Madrid","Alaves",2,1,"H"
28-06-20,"Levante","Betis",4,2,"H"
28-06-20,"Villarreal","Valencia",2,0,"H"
28-06-20,"Granada","Eibar",1,2,"A"
28-06-20,"Espanol","Real Madrid",0,1,"A"
29-06-20,"Getafe","Sociedad",2,1,"H"
30-06-20,"Mallorca","Celta",5,1,"H"
30-06-20,"Leganes","Sevilla",0,3,"A"
30-06-20,"Barcelona","Ath Madrid",2,2,"D"
1-07-20,"Alaves","Granada",0,2,"A"
1-07-20,"Valencia","Ath Bilbao",0,2,"A"
1-07-20,"Betis","Villarreal",0,2,"A"
1-07-20,"Valladolid","Levante",0,0,"D"
2-07-20,"Eibar","Osasuna",0,2,"A"
2-07-20,"Sociedad","Espanol",2,1,"H"
2-07-20,"Real Madrid","Getafe",1,0,"H"
3-07-20,"Ath Madrid","Mallorca",3,0,"H"
4-07-20,"Celta","Betis",1,1,"D"
4-07-20,"Valladolid","Alaves",1,0,"H"
4-07-20,"Granada","Valencia",2,2,"D"
5-07-20,"Ath Bilbao","Real Madrid",0,1,"A"
5-07-20,"Espanol","Leganes",0,1,"A"
5-07-20,"Osasuna","Getafe",0,0,"D"
5-07-20,"Villarreal","Barcelona",1,4,"A"
6-07-20,"Levante","Sociedad",1,1,"D"
6-07-20,"Sevilla","Eibar",1,0,"H"
7-07-20,"Valencia","Valladolid",2,1,"H"
7-07-20,"Celta","Ath Madrid",1,1,"D"
8-07-20,"Betis","Osasuna",3,0,"H"
8-07-20,"Getafe","Villarreal",1,3,"A"
8-07-20,"Barcelona","Espanol",1,0,"H"
9-07-20,"Eibar","Leganes",0,0,"D"
9-07-20,"Mallorca","Levante",2,0,"H"
9-07-20,"Ath Bilbao","Sevilla",1,2,"A"
10-07-20,"Sociedad","Granada",2,3,"A"
10-07-20,"Real Madrid","Alaves",2,0,"H"
11-07-20,"Osasuna","Celta",2,1,"H"
11-07-20,"Valladolid","Barcelona",0,1,"A"
11-07-20,"Ath Madrid","Betis",1,0,"H"
12-07-20,"Espanol","Eibar",0,2,"A"
12-07-20,"Levante","Ath Bilbao",1,2,"A"
12-07-20,"Leganes","Valencia",1,0,"H"
12-07-20,"Sevilla","Mallorca",2,0,"H"
13-07-20,"Alaves","Getafe",0,0,"D"
13-07-20,"Villarreal","Sociedad",1,2,"A"
13-07-20,"Granada","Real Madrid",1,2,"A"
16-07-20,"Eibar","Valladolid",3,1,"H"
16-07-20,"Ath Bilbao","Leganes",0,2,"A"
16-07-20,"Barcelona","Osasuna",1,2,"A"
16-07-20,"Betis","Alaves",1,2,"A"
16-07-20,"Celta","Levante",2,3,"A"
16-07-20,"Getafe","Ath Madrid",0,2,"A"
16-07-20,"Mallorca","Granada",1,2,"A"
16-07-20,"Real Madrid","Villarreal",2,1,"H"
16-07-20,"Sociedad","Sevilla",0,0,"D"
16-07-20,"Valencia","Espanol",1,0,"H"
19-07-20,"Alaves","Barcelona",0,5,"A"
19-07-20,"Valladolid","Betis",2,0,"H"
19-07-20,"Villarreal","Eibar",4,0,"H"
19-07-20,"Ath Madrid","Sociedad",1,1,"D"
19-07-20,"Espanol","Celta",0,0,"D"
19-07-20,"Granada","Ath Bilbao",4,0,"H"
19-07-20,"Leganes","Real Madrid",2,2,"D"
19-07-20,"Levante","Getafe",1,0,"H"
19-07-20,"Osasuna","Mallorca",2,2,"D"
19-07-20,"Sevilla","Valencia",1,0,"H"
